learner_id,name,membership_plan,total_courses_completed,learner_segment,join_date
L00460,Bima Santoso,Plus,2,Intermediate,2025-08-27
L00461,Alya Putri,Pro,16,Beginner,2025-05-12
L00462,Alya Putri,Pro,4,Beginner,2026-03-26
L00463,Citra Dewi,Pro,6,Intermediate,2025-05-30
L00464,Eka Wijaya,Plus,25,Advanced,2025-02-05
L00465,Citra Dewi,Pro,10,Intermediate,2026-06-15
L00466,Citra Dewi,Free,18,Beginner,2025-11-09
L00467,Dimas Pratama,Plus,18,Advanced,2024-05-09
L00468,Alya Putri,Plus,25,Intermediate,2025-05-24
L00469,Eka Wijaya,Plus,23,Beginner,2024-05-16
L00470,Eka Wijaya,Plus,0,Intermediate,2024-04-21
L00471,Bima Santoso,Pro,13,Beginner,2025-12-07
L00472,Dimas Pratama,Free,12,Beginner,2024-01-06
L00473,Bima Santoso,Plus,11,Advanced,2026-05-15
L00474,Alya Putri,Plus,14,Intermediate,2026-08-23
L00475,Bima Santoso,Pro,1,Advanced,2023-09-30
L00476,Bima Santoso,Free,6,Advanced,2024-09-17
L00477,Eka Wijaya,Free,18,Intermediate,2026-01-01
L00478,Alya Putri,Pro,5,Advanced,2024-05-23
L00479,Eka Wijaya,Plus,19,Beginner,2026-01-28
L00480,Dimas Pratama,Free,1,Advanced,2024-05-26
L00481,Dimas Pratama,Plus,23,Advanced,2024-07-17
L00482,Eka Wijaya,Free,25,Intermediate,2025-05-14
L00483,Eka Wijaya,Pro,10,Intermediate,2024-02-15
L00484,Alya Putri,Free,25,Advanced,2025-09-13
L00485,Alya Putri,Free,7,Advanced,2025-03-20
L00486,Dimas Pratama,Free,20,Advanced,2025-01-10
L00487,Bima Santoso,Pro,0,Intermediate,2026-01-12
L00488,Eka Wijaya,Plus,25,Intermediate,2026-02-22
L00489,Alya Putri,Free,25,Intermediate,2024-03-23
L00490,Eka Wijaya,Plus,16,Intermediate,2025-08-19
L00491,Bima Santoso,Pro,2,Beginner,2024-11-25
L00492,Citra Dewi,Pro,5,Advanced,2024-04-01
L00493,Bima Santoso,Pro,17,Beginner,2024-02-23
L00494,Alya Putri,Free,25,Advanced,2025-08-22
L00495,Citra Dewi,Free,8,Beginner,2024-01-07
L00496,Citra Dewi,Plus,21,Beginner,2026-03-05
L00497,Alya Putri,Plus,13,Advanced,2025-11-04
L00498,Eka Wijaya,Plus,11,Advanced,2025-12-01
L00499,Citra Dewi,Free,20,Intermediate,2025-06-02
L00500,Bima Santoso,Free,18,Intermediate,2023-11-05
L00501,Bima Santoso,Free,21,Beginner,2026-08-03
L00502,Eka Wijaya,Plus,18,Beginner,2024-10-15
L00503,Eka Wijaya,Pro,16,Advanced,2024-03-01
L00504,Bima Santoso,Pro,18,Advanced,2025-06-09
L00505,Bima Santoso,Plus,24,Advanced,2026-07-22
L00506,Bima Santoso,Free,24,Advanced,2024-01-12
L00507,Bima Santoso,Pro,9,Advanced,2023-09-13
L00508,Alya Putri,Pro,10,Beginner,2024-07-30
L00509,Dimas Pratama,Pro,8,Beginner,2025-03-12
L00510,Alya Putri,Plus,15,Beginner,2024-03-22
L00511,Bima Santoso,Free,24,Intermediate,2024-04-01
L00512,Bima Santoso,Plus,20,Beginner,2024-02-18
L00513,Eka Wijaya,Plus,7,Advanced,2024-01-30
L00514,Bima Santoso,Free,7,Beginner,2024-10-28
L00515,Citra Dewi,Free,10,Beginner,2024-10-21
L00516,Eka Wijaya,Plus,5,Advanced,2025-08-27
L00517,Alya Putri,Plus,11,Beginner,2026-04-13
L00518,Citra Dewi,Pro,20,Advanced,2026-04-27
L00519,Dimas Pratama,Plus,22,Beginner,2026-08-25
L00520,Dimas Pratama,Free,3,Intermediate,2026-08-08
L00521,Bima Santoso,Free,13,Advanced,2025-07-09
L00522,Bima Santoso,Plus,15,Beginner,2026-03-07
L00523,Bima Santoso,Pro,5,Intermediate,2026-01-19
L00524,Citra Dewi,Pro,17,Advanced,2025-10-17
L00525,Citra Dewi,Plus,24,Intermediate,2026-02-15
L00526,Eka Wijaya,Pro,0,Advanced,2025-12-30
L00527,Eka Wijaya,Plus,21,Beginner,2025-09-17
L00528,Citra Dewi,Pro,17,Intermediate,2024-03-27
L00529,Dimas Pratama,Free,13,Beginner,2025-01-11
L00530,Bima Santoso,Plus,10,Intermediate,2026-02-05
L00531,Alya Putri,Free,23,Beginner,2026-08-31
L00532,Bima Santoso,Free,22,Intermediate,2025-07-25
L00533,Dimas Pratama,Plus,4,Advanced,2026-04-13
L00534,Eka Wijaya,Pro,24,Advanced,2025-06-18
L00535,Eka Wijaya,Plus,13,Intermediate,2024-05-28
L00536,Alya Putri,Plus,25,Advanced,2024-08-16
L00537,Dimas Pratama,Free,25,Advanced,2025-10-05
L00538,Dimas Pratama,Free,11,Advanced,2026-02-27
L00539,Bima Santoso,Free,20,Advanced,2025-01-15
L00540,Dimas Pratama,Free,16,Advanced,2024-01-02
L00541,Bima Santoso,Plus,0,Advanced,2024-05-20
L00542,Bima Santoso,Free,4,Intermediate,2025-07-15
L00543,Eka Wijaya,Free,23,Intermediate,2024-08-13
L00544,Dimas Pratama,Plus,1,Intermediate,2025-07-14
L00545,Dimas Pratama,Free,4,Beginner,2025-10-05
L00546,Eka Wijaya,Plus,0,Advanced,2025-09-27
L00547,Eka Wijaya,Free,11,Intermediate,2024-03-10
L00548,Alya Putri,Plus,5,Beginner,2024-02-22
L00549,Bima Santoso,Plus,19,Advanced,2025-10-21
L00550,Dimas Pratama,Pro,16,Beginner,2026-04-19
L00551,Eka Wijaya,Plus,8,Advanced,2024-03-18
L00552,Citra Dewi,Pro,19,Intermediate,2024-04-30
L00553,Bima Santoso,Plus,13,Advanced,2024-06-11
L00554,Citra Dewi,Pro,9,Intermediate,2025-06-11
L00555,Alya Putri,Plus,6,Intermediate,2024-03-09
L00556,Eka Wijaya,Free,2,Intermediate,2023-10-25
L00557,Dimas Pratama,Plus,6,Advanced,2025-01-06
L00558,Citra Dewi,Pro,22,Beginner,2024-02-29
L00559,Dimas Pratama,Free,21,Intermediate,2026-04-20
L00560,Citra Dewi,Plus,22,Intermediate,2023-11-26
L00561,Dimas Pratama,Plus,16,Beginner,2025-05-31
L00562,Citra Dewi,Free,16,Advanced,2025-05-18
L00563,Eka Wijaya,Pro,0,Advanced,2025-07-13
L00564,Bima Santoso,Free,12,Advanced,2024-03-16
L00565,Citra Dewi,Plus,25,Advanced,2026-01-24
L00566,Eka Wijaya,Free,12,Advanced,2024-09-30
L00567,Alya Putri,Plus,20,Beginner,2024-01-10
L00568,Bima Santoso,Plus,21,Advanced,2023-10-28
L00569,Eka Wijaya,Plus,13,Advanced,2024-11-06
L00570,Dimas Pratama,Pro,5,Intermediate,2024-03-10
L00571,Bima Santoso,Pro,24,Advanced,2023-10-03
L00572,Bima Santoso,Pro,13,Beginner,2024-02-05
L00573,Citra Dewi,Pro,3,Intermediate,2026-08-15
L00574,Citra Dewi,Pro,0,Advanced,2025-08-05
L00575,Dimas Pratama,Plus,17,Beginner,2025-03-21
L00576,Bima Santoso,Pro,0,Beginner,2026-08-19
L00577,Alya Putri,Free,22,Beginner,2023-12-24
L00578,Alya Putri,Plus,12,Beginner,2025-04-04
L00579,Dimas Pratama,Plus,17,Intermediate,2025-07-18
L00580,Dimas Pratama,Free,11,Intermediate,2024-05-12
L00581,Bima Santoso,Free,12,Intermediate,2024-03-18
L00582,Eka Wijaya,Free,0,Beginner,2023-11-14
L00583,Alya Putri,Free,2,Advanced,2024-07-07
L00584,Citra Dewi,Free,3,Intermediate,2024-04-06
L00585,Alya Putri,Free,15,Intermediate,2025-11-17
L00586,Alya Putri,Plus,18,Advanced,2025-04-10
L00587,Dimas Pratama,Pro,7,Advanced,2024-02-25
L00588,Bima Santoso,Plus,18,Advanced,2023-12-10
L00589,Eka Wijaya,Free,19,Advanced,2024-09-30
L00590,Citra Dewi,Plus,8,Intermediate,2026-04-25
L00591,Eka Wijaya,Pro,6,Advanced,2024-09-11
L00592,Bima Santoso,Plus,23,Beginner,2026-01-31
L00593,Alya Putri,Free,14,Intermediate,2025-05-10
L00594,Alya Putri,Plus,14,Beginner,2026-05-02
L00595,Eka Wijaya,Pro,15,Intermediate,2024-10-05
L00596,Bima Santoso,Pro,17,Beginner,2026-06-20
L00597,Bima Santoso,Plus,16,Advanced,2024-09-07
L00598,Dimas Pratama,Pro,25,Intermediate,2024-06-03
L00599,Bima Santoso,Free,12,Intermediate,2025-03-01
L00600,Dimas Pratama,Free,9,Intermediate,2025-06-21
L00601,Dimas Pratama,Pro,19,Beginner,2025-07-15
L00602,Eka Wijaya,Free,8,Beginner,2025-12-09
L00603,Dimas Pratama,Free,21,Advanced,2024-04-08
L00604,Dimas Pratama,Plus,11,Intermediate,2024-02-07
L00605,Alya Putri,Pro,8,Advanced,2024-08-30
L00606,Eka Wijaya,Free,19,Intermediate,2025-06-25
L00607,Bima Santoso,Pro,19,Beginner,2024-03-25
L00608,Dimas Pratama,Pro,25,Intermediate,2023-09-24
L00609,Citra Dewi,Free,14,Advanced,2026-05-05
L00610,Alya Putri,Plus,14,Beginner,2024-03-27
L00611,Dimas Pratama,Pro,19,Advanced,2023-11-04
L00612,Dimas Pratama,Plus,25,Intermediate,2025-04-15
L00613,Bima Santoso,Plus,3,Beginner,2024-12-10
L00614,Bima Santoso,Free,14,Intermediate,2024-08-24
L00615,Bima Santoso,Plus,16,Beginner,2026-07-29
L00616,Citra Dewi,Pro,6,Advanced,2026-04-07
L00617,Bima Santoso,Plus,2,Beginner,2024-09-24
L00618,Eka Wijaya,Pro,15,Advanced,2026-06-12
L00619,Alya Putri,Pro,18,Advanced,2024-01-06
L00620,Eka Wijaya,Plus,20,Intermediate,2024-08-02
L00621,Bima Santoso,Pro,25,Beginner,2025-11-14
L00622,Dimas Pratama,Plus,18,Beginner,2024-05-20
L00623,Citra Dewi,Plus,17,Beginner,2024-11-02
L00624,Eka Wijaya,Pro,22,Advanced,2025-10-05
L00625,Dimas Pratama,Pro,18,Beginner,2024-07-23
L00626,Alya Putri,Plus,5,Intermediate,2024-03-28
L00627,Alya Putri,Free,23,Intermediate,2025-12-12
L00628,Citra Dewi,Free,0,Advanced,2026-04-23
L00629,Alya Putri,Free,22,Advanced,2026-04-14
L00630,Eka Wijaya,Free,12,Beginner,2025-03-21
L00631,Citra Dewi,Pro,14,Advanced,2025-12-02
L00632,Citra Dewi,Pro,1,Intermediate,2024-06-14
L00633,Dimas Pratama,Pro,18,Beginner,2025-04-02
L00634,Citra Dewi,Free,12,Advanced,2026-08-21
L00635,Alya Putri,Plus,19,Beginner,2026-07-25
L00636,Dimas Pratama,Plus,21,Advanced,2026-01-09
L00637,Bima Santoso,Pro,19,Intermediate,2026-05-23
L00638,Citra Dewi,Pro,12,Intermediate,2025-05-26
L00639,Citra Dewi,Free,25,Intermediate,2024-04-02
L00640,Alya Putri,Free,2,Intermediate,2025-11-03
L00641,Bima Santoso,Free,1,Advanced,2024-06-04
L00642,Bima Santoso,Free,16,Advanced,2025-08-19
L00643,Eka Wijaya,Pro,10,Beginner,2024-06-04
L00644,Alya Putri,Free,25,Beginner,2025-01-18
L00645,Alya Putri,Pro,4,Advanced,2026-04-02
L00646,Eka Wijaya,Free,15,Advanced,2026-06-28
L00647,Dimas Pratama,Free,7,Advanced,2025-02-04
L00648,Citra Dewi,Free,9,Advanced,2025-06-20
L00649,Bima Santoso,Plus,16,Advanced,2026-01-17
L00650,Eka Wijaya,Pro,13,Intermediate,2024-10-07
L00651,Alya Putri,Free,9,Beginner,2024-10-20
L00652,Dimas Pratama,Free,25,Advanced,2024-08-05
L00653,Citra Dewi,Pro,1,Intermediate,2024-03-08
L00654,Bima Santoso,Pro,7,Intermediate,2026-05-06
L00655,Dimas Pratama,Pro,7,Beginner,2025-04-12
L00656,Eka Wijaya,Plus,11,Advanced,2026-07-30
L00657,Bima Santoso,Free,18,Intermediate,2023-10-13
L00658,Bima Santoso,Plus,17,Intermediate,2025-10-30
L00659,Dimas Pratama,Free,18,Advanced,2023-09-16
L00660,Dimas Pratama,Plus,13,Advanced,2024-07-10
L00661,Citra Dewi,Plus,8,Intermediate,2024-10-24
L00662,Dimas Pratama,Plus,12,Advanced,2024-02-13
L00663,Bima Santoso,Free,6,Beginner,2026-04-21
L00664,Alya Putri,Free,17,Advanced,2024-03-24
L00665,Citra Dewi,Pro,4,Beginner,2023-10-11
L00666,Alya Putri,Plus,16,Advanced,2023-09-23
L00667,Dimas Pratama,Plus,19,Advanced,2025-01-19
L00668,Eka Wijaya,Pro,25,Intermediate,2024-07-12
L00669,Citra Dewi,Free,7,Intermediate,2024-02-06
L00670,Citra Dewi,Plus,15,Intermediate,2025-09-16
L00671,Dimas Pratama,Plus,11,Beginner,2025-09-04
L00672,Eka Wijaya,Pro,19,Advanced,2024-10-09
L00673,Bima Santoso,Plus,17,Advanced,2025-07-24
L00674,Bima Santoso,Pro,20,Intermediate,2024-07-28
L00675,Dimas Pratama,Plus,8,Beginner,2024-05-06
L00676,Citra Dewi,Plus,10,Intermediate,2024-03-05
L00677,Dimas Pratama,Plus,8,Advanced,2025-04-29
L00678,Citra Dewi,Pro,25,Intermediate,2024-09-14
L00679,Dimas Pratama,Pro,6,Advanced,2026-03-31
L00680,Eka Wijaya,Free,11,Intermediate,2024-04-30
L00681,Dimas Pratama,Pro,4,Advanced,2024-04-13
L00682,Eka Wijaya,Free,25,Beginner,2024-03-10
L00683,Citra Dewi,Pro,19,Advanced,2026-08-09
L00684,Eka Wijaya,Pro,25,Advanced,2024-04-21
L00685,Citra Dewi,Plus,12,Intermediate,2026-07-31
L00686,Bima Santoso,Plus,12,Intermediate,2026-08-15
L00687,Eka Wijaya,Free,18,Advanced,2026-01-29
L00688,Eka Wijaya,Free,0,Advanced,2026-04-30
L00689,Dimas Pratama,Free,5,Intermediate,2024-04-20
L00690,Citra Dewi,Plus,13,Beginner,2026-02-22
L00691,Alya Putri,Free,2,Advanced,2024-11-18
L00692,Dimas Pratama,Free,11,Intermediate,2025-03-15
L00693,Bima Santoso,Free,21,Beginner,2023-10-07
L00694,Bima Santoso,Plus,2,Intermediate,2025-02-20
L00695,Alya Putri,Plus,9,Beginner,2026-02-06
L00696,Eka Wijaya,Plus,18,Intermediate,2026-07-12
L00697,Eka Wijaya,Pro,20,Beginner,2024-04-17
L00698,Alya Putri,Free,6,Intermediate,2023-09-27
L00699,Citra Dewi,Free,2,Intermediate,2025-10-13
L00700,Eka Wijaya,Plus,18,Beginner,2025-05-27
L00701,Alya Putri,Plus,8,Beginner,2025-01-31
L00702,Dimas Pratama,Pro,19,Intermediate,2026-06-06
L00703,Dimas Pratama,Free,18,Advanced,2025-11-18
L00704,Alya Putri,Plus,13,Intermediate,2025-02-15
L00705,Bima Santoso,Free,0,Intermediate,2024-06-30
L00706,Citra Dewi,Pro,16,Beginner,2024-04-13
L00707,Alya Putri,Free,4,Advanced,2024-03-15
L00708,Alya Putri,Plus,3,Beginner,2024-09-16
L00709,Eka Wijaya,Pro,7,Beginner,2025-02-21
L00710,Bima Santoso,Plus,24,Advanced,2024-08-18
L00711,Alya Putri,Free,5,Advanced,2026-06-23
L00712,Bima Santoso,Plus,9,Advanced,2024-05-25
L00713,Citra Dewi,Pro,11,Beginner,2026-08-16
L00714,Dimas Pratama,Free,25,Advanced,2025-09-03
L00715,Alya Putri,Pro,13,Beginner,2025-04-20
L00716,Citra Dewi,Plus,11,Intermediate,2024-11-11
L00717,Eka Wijaya,Pro,0,Beginner,2025-02-04
L00718,Eka Wijaya,Pro,0,Intermediate,2024-05-02
L00719,Alya Putri,Pro,2,Beginner,2024-03-18
L00720,Bima Santoso,Free,4,Intermediate,2026-03-06
L00721,Bima Santoso,Pro,7,Intermediate,2026-05-21
L00722,Alya Putri,Pro,22,Intermediate,2026-09-01
L00723,Alya Putri,Pro,24,Intermediate,2026-01-17
L00724,Bima Santoso,Plus,21,Advanced,2025-05-24
L00725,Dimas Pratama,Plus,19,Intermediate,2025-06-26
L00726,Dimas Pratama,Pro,19,Intermediate,2024-10-02
L00727,Alya Putri,Free,16,Beginner,2025-01-08
L00728,Citra Dewi,Pro,13,Beginner,2025-06-05
L00729,Alya Putri,Plus,2,Advanced,2024-08-07
L00730,Bima Santoso,Plus,18,Advanced,2025-12-06
L00731,Alya Putri,Free,7,Intermediate,2024-05-10
L00732,Dimas Pratama,Pro,25,Intermediate,2026-01-11
L00733,Citra Dewi,Free,25,Beginner,2024-05-05
L00734,Dimas Pratama,Pro,14,Intermediate,2024-08-27
L00735,Alya Putri,Pro,13,Advanced,2024-11-07
L00736,Citra Dewi,Plus,23,Intermediate,2025-07-20
L00737,Eka Wijaya,Pro,24,Intermediate,2024-04-23
L00738,Eka Wijaya,Plus,21,Advanced,2024-09-19
L00739,Eka Wijaya,Free,23,Advanced,2025-09-29
L00740,Dimas Pratama,Free,2,Intermediate,2025-03-01
L00741,Citra Dewi,Plus,15,Intermediate,2024-12-13
L00742,Alya Putri,Plus,17,Intermediate,2024-04-13
L00743,Bima Santoso,Plus,1,Intermediate,2024-07-30
L00744,Eka Wijaya,Free,10,Intermediate,2024-01-15
L00745,Alya Putri,Plus,4,Intermediate,2025-07-16
L00746,Eka Wijaya,Plus,18,Advanced,2024-04-14
L00747,Alya Putri,Pro,9,Advanced,2026-04-24
L00748,Alya Putri,Free,17,Intermediate,2025-10-17
L00749,Eka Wijaya,Free,18,Intermediate,2025-11-06
L00750,Alya Putri,Plus,10,Intermediate,2023-10-07
L00751,Eka Wijaya,Pro,6,Beginner,2024-10-22
L00752,Bima Santoso,Pro,19,Intermediate,2026-07-17
L00753,Alya Putri,Free,6,Advanced,2024-12-18
L00754,Dimas Pratama,Plus,23,Advanced,2025-08-14
L00755,Dimas Pratama,Pro,3,Beginner,2026-03-04
L00756,Eka Wijaya,Free,17,Beginner,2025-05-05
L00757,Citra Dewi,Free,3,Beginner,2024-03-23
L00758,Eka Wijaya,Pro,4,Advanced,2025-06-01
L00759,Alya Putri,Free,9,Advanced,2026-03-28
L00760,Eka Wijaya,Plus,10,Advanced,2024-08-04
L00761,Eka Wijaya,Free,24,Intermediate,2024-05-16
L00762,Bima Santoso,Free,4,Intermediate,2024-09-28
L00763,Alya Putri,Plus,17,Beginner,2024-12-05
L00764,Alya Putri,Free,19,Intermediate,2024-03-20
L00765,Bima Santoso,Plus,20,Advanced,2025-03-25
L00766,Alya Putri,Pro,5,Advanced,2024-01-31
L00767,Alya Putri,Free,17,Advanced,2026-06-17
L00768,Dimas Pratama,Free,3,Advanced,2024-08-24
L00769,Bima Santoso,Free,10,Beginner,2025-01-25
L00770,Alya Putri,Plus,14,Intermediate,2024-09-25
L00771,Dimas Pratama,Pro,25,Advanced,2024-05-23
L00772,Bima Santoso,Pro,11,Intermediate,2026-03-12
L00773,Citra Dewi,Pro,8,Intermediate,2024-02-16
L00774,Citra Dewi,Pro,1,Advanced,2025-07-20
L00775,Dimas Pratama,Pro,16,Beginner,2026-06-21
L00776,Citra Dewi,Plus,21,Advanced,2026-06-04
L00777,Bima Santoso,Plus,13,Advanced,2026-01-07
L00778,Citra Dewi,Pro,1,Beginner,2026-04-01
L00779,Dimas Pratama,Pro,19,Beginner,2024-09-30
L00780,Citra Dewi,Plus,10,Intermediate,2024-10-16
L00781,Bima Santoso,Pro,8,Beginner,2023-12-30
L00782,Bima Santoso,Plus,9,Advanced,2024-06-18
L00783,Bima Santoso,Pro,25,Advanced,2026-05-05
L00784,Alya Putri,Pro,12,Beginner,2025-03-24
L00785,Bima Santoso,Free,12,Intermediate,2025-12-07
L00786,Dimas Pratama,Free,3,Beginner,2024-02-18
L00787,Eka Wijaya,Free,22,Advanced,2026-04-01
L00788,Alya Putri,Free,22,Intermediate,2024-05-18
L00789,Dimas Pratama,Plus,6,Intermediate,2025-02-20
L00790,Bima Santoso,Free,2,Advanced,2025-02-16
L00791,Dimas Pratama,Free,16,Intermediate,2025-09-09
L00792,Citra Dewi,Free,14,Intermediate,2026-04-22
L00793,Eka Wijaya,Free,1,Beginner,2025-08-21
L00794,Bima Santoso,Plus,21,Beginner,2025-03-25
L00795,Bima Santoso,Pro,17,Beginner,2024-07-22
L00796,Citra Dewi,Plus,16,Advanced,2024-01-31
L00797,Dimas Pratama,Free,19,Beginner,2024-04-13
L00798,Dimas Pratama,Free,13,Intermediate,2024-04-04
L00799,Dimas Pratama,Plus,11,Advanced,2025-10-27
L00800,Eka Wijaya,Plus,4,Advanced,2025-02-01
L00801,Eka Wijaya,Plus,24,Beginner,2023-09-13
L00802,Eka Wijaya,Pro,24,Intermediate,2025-02-15
L00803,Dimas Pratama,Pro,15,Advanced,2026-02-21
L00804,Eka Wijaya,Plus,16,Beginner,2023-10-07
L00805,Alya Putri,Pro,21,Beginner,2024-11-30
L00806,Dimas Pratama,Plus,9,Beginner,2024-06-04
L00807,Citra Dewi,Pro,8,Advanced,2024-03-27
L00808,Eka Wijaya,Pro,8,Advanced,2024-02-25
L00809,Citra Dewi,Pro,0,Beginner,2024-09-22
L00810,Dimas Pratama,Free,6,Beginner,2024-11-12
L00811,Citra Dewi,Plus,24,Beginner,2024-07-02
L00812,Citra Dewi,Pro,20,Intermediate,2026-06-12
L00813,Citra Dewi,Free,22,Advanced,2024-06-24
L00814,Eka Wijaya,Free,22,Beginner,2024-08-12
L00815,Eka Wijaya,Plus,10,Intermediate,2024-09-25
L00816,Citra Dewi,Free,15,Beginner,2024-06-05
L00817,Eka Wijaya,Pro,17,Advanced,2024-05-06
L00818,Dimas Pratama,Pro,12,Intermediate,2025-03-15
L00819,Dimas Pratama,Plus,2,Intermediate,2024-05-24
L00820,Dimas Pratama,Free,25,Advanced,2024-02-25
L00821,Dimas Pratama,Pro,3,Beginner,2026-07-13
L00822,Eka Wijaya,Free,5,Intermediate,2025-09-06
L00823,Eka Wijaya,Free,1,Advanced,2025-04-19
L00824,Citra Dewi,Plus,1,Intermediate,2025-07-23
L00825,Alya Putri,Plus,13,Beginner,2024-03-09
L00826,Bima Santoso,Free,0,Beginner,2026-01-24
L00827,Eka Wijaya,Plus,3,Intermediate,2024-07-27
L00828,Eka Wijaya,Free,8,Beginner,2023-11-14
L00829,Alya Putri,Plus,9,Intermediate,2025-05-08
L00830,Alya Putri,Free,24,Advanced,2026-01-02
L00831,Citra Dewi,Plus,7,Beginner,2023-11-12
L00832,Dimas Pratama,Pro,8,Advanced,2024-01-15
L00833,Eka Wijaya,Pro,19,Advanced,2025-03-06
L00834,Dimas Pratama,Pro,10,Beginner,2023-11-23
L00835,Eka Wijaya,Free,11,Advanced,2026-04-18
L00836,Bima Santoso,Plus,10,Advanced,2024-02-01
L00837,Alya Putri,Plus,14,Beginner,2023-10-28
L00838,Eka Wijaya,Plus,13,Advanced,2026-09-03
L00839,Eka Wijaya,Pro,2,Beginner,2026-09-04
L00840,Eka Wijaya,Pro,5,Intermediate,2025-01-25
L00841,Alya Putri,Free,0,Intermediate,2026-05-08
L00842,Alya Putri,Free,15,Beginner,2023-09-05
L00843,Alya Putri,Pro,2,Beginner,2024-12-24
L00844,Dimas Pratama,Pro,10,Beginner,2026-03-04
L00845,Dimas Pratama,Plus,13,Advanced,2026-02-18
L00846,Bima Santoso,Plus,4,Intermediate,2024-01-06
L00847,Eka Wijaya,Plus,15,Beginner,2023-10-16
L00848,Bima Santoso,Plus,15,Intermediate,2023-10-19
L00849,Dimas Pratama,Free,21,Beginner,2026-08-05
L00850,Dimas Pratama,Free,1,Beginner,2024-04-02
L00851,Eka Wijaya,Free,16,Intermediate,2025-06-21
L00852,Bima Santoso,Pro,0,Intermediate,2024-02-15
L00853,Dimas Pratama,Pro,13,Beginner,2024-11-08
L00854,Alya Putri,Pro,22,Intermediate,2024-03-09
L00855,Citra Dewi,Pro,14,Beginner,2026-08-03
L00856,Eka Wijaya,Plus,3,Advanced,2024-07-08
L00857,Eka Wijaya,Pro,12,Advanced,2026-07-16
L00858,Eka Wijaya,Plus,3,Intermediate,2025-12-13
L00859,Alya Putri,Pro,8,Advanced,2026-06-30
L00860,Eka Wijaya,Free,24,Intermediate,2024-09-29
L00861,Citra Dewi,Pro,9,Beginner,2024-07-08
L00862,Citra Dewi,Plus,7,Advanced,2024-12-22
L00863,Citra Dewi,Free,20,Beginner,2026-01-16
L00864,Bima Santoso,Pro,12,Intermediate,2024-05-29
L00865,Alya Putri,Free,3,Beginner,2023-09-27
L00866,Citra Dewi,Pro,18,Intermediate,2025-04-14
L00867,Bima Santoso,Pro,13,Advanced,2023-12-24
L00868,Eka Wijaya,Plus,10,Intermediate,2026-03-06
L00869,Citra Dewi,Plus,16,Beginner,2024-09-15
L00870,Eka Wijaya,Pro,4,Intermediate,2025-10-01
L00871,Eka Wijaya,Plus,0,Advanced,2025-06-27
L00872,Citra Dewi,Pro,4,Intermediate,2026-08-22
L00873,Eka Wijaya,Plus,21,Advanced,2024-06-12
L00874,Dimas Pratama,Plus,9,Intermediate,2024-06-19
L00875,Alya Putri,Free,25,Beginner,2024-04-07
L00876,Bima Santoso,Pro,23,Intermediate,2025-06-19
L00877,Citra Dewi,Plus,4,Beginner,2025-08-07
L00878,Citra Dewi,Plus,10,Advanced,2023-09-14
L00879,Eka Wijaya,Free,18,Beginner,2026-05-07
L00880,Bima Santoso,Pro,20,Advanced,2024-04-23
L00881,Alya Putri,Free,12,Intermediate,2023-10-14
L00882,Alya Putri,Pro,22,Intermediate,2024-01-07
L00883,Alya Putri,Free,24,Advanced,2023-09-05
L00884,Eka Wijaya,Free,9,Intermediate,2025-01-04
L00885,Citra Dewi,Pro,15,Intermediate,2024-11-23
L00886,Eka Wijaya,Free,17,Beginner,2024-01-11
L00887,Bima Santoso,Plus,7,Advanced,2024-08-15
L00888,Eka Wijaya,Free,24,Intermediate,2023-12-09
L00889,Eka Wijaya,Plus,12,Beginner,2026-08-30
L00890,Citra Dewi,Plus,0,Intermediate,2026-01-06
L00891,Alya Putri,Pro,7,Intermediate,2025-06-27
L00892,Eka Wijaya,Plus,4,Advanced,2025-05-31
L00893,Eka Wijaya,Pro,25,Beginner,2024-04-28
L00894,Citra Dewi,Pro,2,Intermediate,2026-05-17
L00895,Alya Putri,Plus,4,Beginner,2024-08-02
L00896,Citra Dewi,Plus,21,Advanced,2026-03-03
L00897,Eka Wijaya,Plus,8,Intermediate,2025-10-28
L00898,Dimas Pratama,Free,11,Beginner,2026-08-11
L00899,Dimas Pratama,Pro,15,Intermediate,2025-06-30
L00900,Citra Dewi,Pro,21,Intermediate,2025-09-19
L00901,Bima Santoso,Free,5,Advanced,2025-09-07
L00902,Dimas Pratama,Pro,9,Intermediate,2024-08-09
L00903,Alya Putri,Pro,6,Beginner,2024-08-13
L00904,Dimas Pratama,Free,10,Advanced,2024-08-01
L00905,Citra Dewi,Plus,20,Beginner,2023-10-02
L00906,Bima Santoso,Plus,24,Beginner,2026-04-09
L00907,Eka Wijaya,Pro,5,Advanced,2026-03-25
L00908,Alya Putri,Free,4,Advanced,2025-10-10
L00909,Citra Dewi,Pro,7,Beginner,2025-07-04
L00910,Eka Wijaya,Free,3,Intermediate,2024-12-07
L00911,Dimas Pratama,Plus,16,Beginner,2024-04-04
L00912,Eka Wijaya,Free,4,Advanced,2023-09-20
L00913,Alya Putri,Free,24,Intermediate,2026-09-04
L00914,Citra Dewi,Plus,20,Beginner,2023-12-20
L00915,Alya Putri,Plus,7,Beginner,2023-11-11
L00916,Alya Putri,Plus,19,Advanced,2025-11-07
L00917,Dimas Pratama,Plus,24,Beginner,2025-04-03
L00918,Eka Wijaya,Pro,24,Advanced,2026-08-01
L00919,Bima Santoso,Free,7,Advanced,2025-10-17
L00920,Bima Santoso,Pro,12,Advanced,2025-11-13
